Species Common Name,Scientific Name,Taxon Class,Overall Sample Size,Overall MLE,Male Sample Size,Male MLE,Female Sample Size,Female MLE
"Penguin, Northern & Southern Rockhopper (combined)",Eudyptes chrysocome moseleyi,Aves,721,24.9,301,23.7,284,27.5
"Pheasant, Palawan Peacock",Polyplectron emphanum,Aves,360,7.1,172,8.4,153,6.3
"Pigeon, Green-naped Pheasant",Otidiphaps nobilis,Aves,194,8.6,101,7.9,92,9.4
"Pigeon, Nicobar",Caloenas nicobarica,Aves,953,14.6,428,16.9,403,12.1
"Pigeon, Victoria Crowned",Goura victoria,Aves,393,12.3,172,12.6,187,12.2
"Pigeon, Western (Blue) Crowned",Goura cristata,Aves,359,6.9,152,6.9,166,6.8
"Pitta, Hooded",Pitta sordida,Aves,224,3.2,109,3.7,110,3
"Porcupine, Prehensile-tailed",Coendou prehensilis,Mammalia,276,10.9,130,10.1,144,11.3
"Pudu, Chilean",Pudu puda,Mammalia,154,7.6,71,7.1,83,7.7
"Puffin, Atlantic",Fratercula arctica,Aves,401,14.6,181,15.4,163,12.8
Puma,Puma concolor,Mammalia,830,15.1,388,13.6,435,16.1
"Python, Reticulated",Python reticulatus,Reptilia,102,11.1,37,7.2,37,14
"Quoll, Tiger",Dasyurus maculatus,Mammalia,50,5,26,4.8,24,5.4
"Rail, Guam",Gallirallus owstoni,Aves,353,7.3,168,9.6,175,5.7
"Rattlesnake, Eastern Massasauga",Sistrurus catenatus�catenatus,Reptilia,227,8.7,100,9.1,94,8.6
"Rattlesnake, Mexican Lance-headed",Crotalus polystictus,Reptilia,187,8.4,77,7.8,99,8.6
"Rhea, Greater",Rhea americana,Aves,1141,7.6,354,8.4,541,7.2
"Rhinoceros, Eastern Black",Diceros bicornis michaeli,Mammalia,227,18.3,117,22.9,110,16.6
"Rhinoceros, Greater One-horned",Rhinoceros unicornis,Mammalia,137,30.2,68,30.6,69,26.3
"Rhinoceros, Southern White",Cerathotherium simum,Mammalia,618,31.4,275,32,343,30.4
Ringtail,Bassariscus astutus,Mammalia,201,11,97,10.3,103,11.6
"Roller, Blue-bellied",Coracias cyanogaster,Aves,276,8.9,136,9.9,138,7.4
"Saki, White-faced",Pithecia pithecia,Mammalia,261,16.5,135,19.3,126,11.4
"Screamer, Crested",Chauna torquata,Aves,272,12.4,134,14.1,123,11.7
"Sea Lion, California",Zalophus californianus,Mammalia,853,23.4,394,21.8,459,24
"Seal, Grey",Halichoerus grypus,Mammalia,77,18.8,32,19.1,45,18.6
"Seal, Harbor",Phoca vitulina,Mammalia,374,24.1,164,24.3,208,22.5
"Seriema, Red-legged",Cariama cristata,Aves,183,17.9,83,17.3,85,18.6
Serval,Leptailurus serval,Mammalia,527,13.2,250,14,272,12.6
"Shark, Sandtiger",Carcharias Taurus,Chondrichthyes,250,26.7,136,28.2,114,21.9
"Sheep, Desert Bighorn",Ovis canadensis nelsoni,Mammalia,223,8,108,6.5,115,9.3
Siamang,Symphalangus syndactylus,Mammalia,308,27.2,153,28,155,26.8
"Sifaka, Coquerel's",Propithecus coquereli,Mammalia,129,11.7,66,10.7,63,12.5
Sitatunga,Tragelaphus spekii,Mammalia,908,6.7,411,5.4,493,7.7
"Sloth, Hoffman's Two-toed",Choleopus hoffmanni,Mammalia,214,15.2,90,18.2,120,14.2
"Sloth, Linne's Two-toed",Choleopus didactylus,Mammalia,262,16.9,102,17.5,153,16.2
"Snake, Eastern Indigo",Drymarchon couperi�,Reptilia,484,11.4,242,11.9,206,10.1
"Snake, Louisiana Pine",Pituophis ruthveni,Reptilia,156,15.6,78,15.6,78,15.8
"Spoonbill, Roseate",Ajaia ajaja,Aves,1356,10.3,453,10.8,521,10
"Springbok, South African",Antidorcas marsupialis,Mammalia,892,5.8,418,4.4,472,6.6
"Squirrel, Prevost's",Callosciurus prevostii,Mammalia,206,9.4,113,10.1,93,9.3
"Starling, Emerald",Coccycolius iris,Aves,414,8.6,197,9.6,139,6.9
"Starling, Golden-breasted",Cosmopsarus regius,Aves,486,8,249,8.9,214,6.7
Steenbok,Raphicerus campestris,Mammalia,89,5.7,42,5.7,47,5.6
"Stilt, Black-necked",Himantopus mexicanus,Aves,141,13,76,12.6,48,14.4
"Stingray, Ocellated River",Potamotrygon motoro,Chondrichthyes,309,6.1,135,5.9,127,6.5
"Stork, European White",Ciconia ciconia ciconia,Aves,330,16.1,154,17.6,140,14.1
"Stork, Marabou",Leptoptilos crumenifer,Aves,280,12.3,140,18.4,138,9.7
"Stork, Painted",Mycteria leucocephala,Aves,90,10.9,49,9.8,39,11.3
"Stork, Saddle-billed",Ephippiorhynchus senegalensis,Aves,123,12.9,60,11.3,63,16.3
"Stork, Yellow-billed",Mycteria ibis,Aves,118,11.8,60,11.9,51,11.5
Sunbittern,Eurypyga helias,Aves,299,14.9,145,16.7,139,13.2
"Takin, Sichuan",Budorcas taxicolor tibetana,Mammalia,200,13.7,104,13.4,94,14.1
"Tamandua, Southern",Tamandua tetradactyla,Mammalia,117,6.1,49,5.2,68,7.6
"Tamarin, Bearded Emperor",Saguinus imperator subgrisescens,Mammalia,182,7.8,92,9.5,87,7.2
"Tamarin, Cotton-top",Saguinus oedipus,Mammalia,843,11.5,437,12.4,401,11.3
"Tamarin, Golden-headed Lion",Leontopithecus chrysomelas,Mammalia,278,11.7,,,,
"Tamarin, Pied",Sanguinus bicolor,Mammalia,91,10.8,50,10,39,12.2
"Tanager, Blue-grey",Thraupis episcopus,Aves,379,5.2,174,5.3,159,5.2
"Tanager, Silver-beaked",Ramphocelus carbo,Aves,356,4.7,148,4.6,169,4.7
"Tanager, Turquoise",Tangara mexicana,Aves,498,4,235,3.9,235,4
"Tapir, Baird's (Central American)",Tapirus bairdii,Mammalia,202,19.1,115,19.5,86,18.2
"Tapir, Malayan (Asian)",Tapirus indicus,Mammalia,190,15.6,82,20.4,108,12.1
"Tarantula, Mexican Red-kneed",Brachypelma smithi,Arachnida,,,,,78,17.2
"Teal, Marbled",Marmaronetta angustirostris,Aves,894,5.6,435,5.9,432,5.1
"Tenrec, Lesser Madagascar Hedgehog",Echinops telfairi,Mammalia,583,8,257,8.4,239,7.3
"Tern, Inca",Larosterna inca,Aves,832,8.6,367,8.7,369,8.6
"Tiger, Amur (Siberian)",Panthera tigris altaica,Mammalia,536,15.3,241,16,295,14.3
"Tiger, Malayan",Panthera tigris jacksoni,Mammalia,100,16.1,58,16.1,42,14.5
"Tiger, Sumatran",Panthera tigris sumatrae,Mammalia,128,18.4,71,18.2,57,18.8
"Toad, Houston",Bufo (Anaxyrus) houstonensis,Amphibia,1092,4.7,504,5,546,4.4
